,,,Original Canvass Results,,,,,,,,,,,,,,,,,,,Recount Canvass Results,,,,,,,,,,,,,,,,,
ASHLAND ,VILLAGE OF BUTTERNUT,VILLAGE OF BUTTERNUT Wards 1-2,177,84,86,0,4,1,0,0,0,1,0,0,0,0,0,0,0,1,,177,84,86,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2
ASHLAND ,CITY OF ASHLAND,CITY OF ASHLAND Ward 1,476,238,213,1,12,5,0,0,0,0,0,0,0,0,0,0,0,7,,476,238,213,1,12,5,0,0,0,0,0,0,0,0,0,0,0,7
ASHLAND ,CITY OF ASHLAND,CITY OF ASHLAND Ward 2,270,91,158,0,11,2,3,0,0,0,0,0,0,0,0,0,0,5,,270,90,159,0,11,2,3,0,0,0,0,0,0,0,0,0,0,5
ASHLAND ,CITY OF ASHLAND,CITY OF ASHLAND Ward 3,320,107,201,0,7,3,0,0,0,0,0,0,0,0,0,0,0,2,,319,107,201,0,7,3,0,0,0,0,0,0,0,0,0,0,0,1
ASHLAND ,CITY OF ASHLAND,CITY OF ASHLAND Ward 4,450,164,258,1,17,5,0,0,0,0,0,0,0,0,0,0,0,5,,451,164,258,1,17,5,0,0,0,3,0,0,0,0,0,0,0,3
ASHLAND ,CITY OF ASHLAND,CITY OF ASHLAND Ward 5,396,100,271,2,10,3,0,0,0,0,0,0,0,0,0,0,0,10,,396,100,271,2,10,3,0,0,0,0,0,0,0,0,0,0,0,10
ASHLAND ,CITY OF ASHLAND,CITY OF ASHLAND Ward 6,307,93,193,0,5,10,1,1,0,0,0,0,0,0,0,0,0,4,,308,94,193,0,5,10,1,0,0,1,0,0,0,0,0,0,1,3
ASHLAND ,CITY OF ASHLAND,CITY OF ASHLAND Ward 7,476,116,303,0,14,32,1,0,0,0,0,0,0,0,0,0,0,10,,476,115,303,0,15,32,1,0,0,0,0,0,0,0,0,0,0,10
ASHLAND ,CITY OF ASHLAND,CITY OF ASHLAND Ward 8,321,106,184,1,15,7,0,4,0,0,0,0,0,0,0,0,0,4,,317,105,185,1,15,7,0,0,0,0,0,0,0,0,0,0,0,4
ASHLAND ,CITY OF ASHLAND,CITY OF ASHLAND Ward 9,287,88,175,3,6,11,1,0,0,0,0,0,0,0,0,0,0,3,,287,88,175,3,6,11,1,0,0,0,0,0,0,0,0,0,0,3
ASHLAND ,CITY OF ASHLAND,CITY OF ASHLAND Ward 10,340,136,190,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,343,136,191,0,7,7,0,0,0,0,0,0,0,0,0,0,0,2
ASHLAND ,CITY OF ASHLAND,CITY OF ASHLAND Ward 11,382,151,200,0,11,10,1,0,0,0,0,0,0,0,0,0,0,9,,382,151,199,0,11,10,1,0,0,0,0,0,0,0,0,0,0,10
ASHLAND ,CITY OF MELLEN,CITY OF MELLEN Ward 1,296,152,139,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,,297,152,140,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
BARRON ,TOWN OF ALMENA,TOWN OF ALMENA Ward 1-2,483,306,148,4,21,1,0,0,0,3,0,0,0,0,0,0,0,0,,483,306,148,4,21,1,0,0,0,3,0,0,0,0,0,0,0,0
BARRON ,TOWN OF ARLAND,TOWN OF ARLAND Ward 1,317,180,107,4,19,7,0,0,0,0,0,0,0,0,0,0,0,0,,317,180,107,4,19,7,0,0,0,0,0,0,0,0,0,0,0,0
BARRON ,TOWN OF BARRON,TOWN OF BARRON Ward 1-2,375,255,97,2,16,1,0,0,0,4,0,0,0,0,0,0,0,0,,375,255,97,2,16,1,0,0,0,4,0,0,0,0,0,0,0,0
BARRON ,TOWN OF BEAR LAKE,TOWN OF BEAR LAKE Ward 1,376,225,133,1,10,5,2,0,0,0,0,0,0,0,0,0,0,0,,377,226,133,1,10,5,2,0,0,0,0,0,0,0,0,0,0,0
BARRON ,TOWN OF CEDAR LAKE,TOWN OF CEDAR LAKE Ward 1,696,470,210,1,11,4,0,0,0,0,0,0,0,0,0,0,0,0,,697,471,210,1,11,4,0,0,0,0,0,0,0,0,0,0,0,0
BARRON ,TOWN OF CHETEK,TOWN OF CHETEK Wards 1-2,1054,650,375,0,22,6,0,1,0,0,0,0,0,0,0,0,0,0,,1055,651,375,0,22,6,0,1,0,0,0,0,0,0,0,0,0,0
BARRON ,TOWN OF CLINTON,TOWN OF CLINTON Ward 1,355,220,112,3,19,0,0,1,0,0,0,0,0,0,0,0,0,0,,355,220,112,3,19,0,0,1,0,0,0,0,0,0,0,0,0,0
BARRON ,TOWN OF CRYSTAL LAKE,TOWN OF CRYSTAL LAKE Ward 1,411,266,137,2,2,0,1,0,0,3,0,0,0,0,0,0,0,0,,411,266,137,2,2,0,1,0,0,3,0,0,0,0,0,0,0,0
BARRON ,TOWN OF CUMBERLAND,TOWN OF CUMBERLAND Ward 1,464,269,166,2,22,0,0,0,0,0,0,0,0,0,0,0,0,5,,464,269,166,2,22,0,0,0,0,0,0,0,0,0,0,0,0,5
BARRON ,TOWN OF DALLAS,TOWN OF DALLAS Ward 1,288,191,78,3,15,0,0,0,0,1,0,0,0,0,0,0,0,0,,288,191,78,3,15,0,0,0,0,1,0,0,0,0,0,0,0,0
BARRON ,TOWN OF DOVRE,TOWN OF DOVRE Ward 1,385,231,138,2,11,2,0,0,0,0,0,0,0,0,0,0,0,1,,387,231,138,2,11,2,0,0,0,2,0,0,0,0,0,0,0,1
BARRON ,TOWN OF DOYLE,TOWN OF DOYLE Ward 1-2,288,210,67,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,,288,210,67,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0
BARRON ,TOWN OF LAKELAND,TOWN OF LAKELAND Ward 1-2,563,341,201,1,15,3,0,1,0,1,0,0,0,0,0,0,0,0,,563,341,201,1,15,3,0,1,0,1,0,0,0,0,0,0,0,0
BARRON ,TOWN OF MAPLE GROVE,TOWN OF MAPLE GROVE Ward 1-2,485,342,110,4,23,2,1,0,0,0,0,0,0,0,0,0,0,3,,485,342,110,4,23,2,1,0,0,0,0,0,0,0,0,0,0,3
BARRON ,TOWN OF MAPLE PLAIN,TOWN OF MAPLE PLAIN Ward 1,480,257,207,1,9,4,0,0,0,1,0,0,0,0,0,0,0,1,,480,257,207,1,9,4,0,0,0,1,0,0,0,0,0,0,0,1
BARRON ,TOWN OF OAK GROVE,TOWN OF OAK GROVE Ward 1-2,491,298,177,1,11,1,0,0,0,1,0,0,0,0,0,0,0,2,,491,298,177,1,11,1,0,0,0,1,0,0,0,0,0,0,0,2
BARRON ,TOWN OF PRAIRIE FARM,TOWN OF PRAIRIE FARM Wards 1-2,278,169,92,3,9,4,0,0,0,0,0,0,0,0,0,0,0,1,,278,169,92,3,9,4,0,0,0,0,0,0,0,0,0,0,0,1
BARRON ,TOWN OF PRAIRIE LAKE,TOWN OF PRAIRIE LAKE Ward 1-2,851,555,261,5,25,5,0,0,0,0,0,0,0,0,0,0,0,0,,855,555,261,5,25,5,0,0,0,4,0,0,0,0,0,0,0,0
BARRON ,TOWN OF RICE LAKE,TOWN OF RICE LAKE Wards 1-4,1602,946,580,3,32,12,0,1,0,7,0,0,0,1,0,0,0,20,,1595,947,580,3,32,12,0,1,0,7,0,0,0,1,0,0,0,12
BARRON ,TOWN OF SIOUX CREEK,TOWN OF SIOUX CREEK Ward 1,294,184,94,3,11,0,0,0,0,2,0,0,0,0,0,0,0,0,,294,184,94,3,11,0,0,0,0,2,0,0,0,0,0,0,0,0
BARRON ,TOWN OF STANFOLD,TOWN OF STANFOLD Ward 1,381,243,122,7,7,1,0,0,0,0,0,0,0,0,0,0,0,1,,381,243,122,7,7,1,0,0,0,0,0,0,0,0,0,0,0,1
BARRON ,TOWN OF STANLEY,TOWN OF STANLEY Ward 1-4,1315,834,407,7,40,13,0,1,0,5,0,0,1,0,0,0,0,7,,1315,834,407,7,40,13,0,1,0,5,0,0,1,0,0,0,0,7
BARRON ,TOWN OF SUMNER,TOWN OF SUMNER Ward 1,392,249,128,0,10,1,0,0,0,2,0,0,0,0,0,0,0,2,,393,249,128,0,10,2,0,0,0,2,0,0,0,0,0,0,0,2
BARRON ,TOWN OF TURTLE LAKE,TOWN OF TURTLE LAKE Ward 1,296,195,89,2,8,1,1,0,0,0,0,0,0,0,0,0,0,0,,296,195,89,2,8,1,1,0,0,0,0,0,0,0,0,0,0,0
BARRON ,TOWN OF VANCE CREEK,TOWN OF VANCE CREEK Ward 1,343,210,113,4,12,2,2,0,0,0,0,0,0,0,0,0,0,0,,343,210,113,4,12,2,2,0,0,0,0,0,0,0,0,0,0,0
BARRON ,VILLAGE OF ALMENA,VILLAGE OF ALMENA Ward 1,303,209,74,1,11,6,1,1,0,0,0,0,0,0,0,0,0,0,,303,209,74,1,11,6,1,1,0,0,0,0,0,0,0,0,0,0
BARRON ,VILLAGE OF CAMERON,VILLAGE OF CAMERON Wards 1-3,793,504,246,3,25,6,0,0,0,1,0,0,0,0,0,0,0,8,,792,504,245,3,25,6,0,0,0,1,0,0,0,0,0,0,0,8
BARRON ,VILLAGE OF DALLAS,VILLAGE OF DALLAS Ward 1,180,113,60,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,,180,113,60,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0
BARRON ,VILLAGE OF HAUGEN,VILLAGE OF HAUGEN Ward 1,159,85,65,3,2,1,0,0,0,2,0,0,0,0,0,0,0,1,,159,85,65,3,2,1,0,0,0,2,0,0,0,0,0,0,0,1
BARRON ,VILLAGE OF NEW AUBURN,VILLAGE OF NEW AUBURN Ward 2,10,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
BARRON ,VILLAGE OF NEW AUBURN,VILLAGE OF NEW AUBURN Ward 3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BARRON ,VILLAGE OF PRAIRIE FARM,VILLAGE OF PRAIRIE FARM Ward 1,192,122,60,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,,192,122,60,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0
BARRON ,VILLAGE OF TURTLE LAKE,VILLAGE OF TURTLE LAKE Ward 1,376,220,129,1,17,6,1,0,1,0,0,0,0,0,0,0,0,1,,376,220,129,1,17,6,1,0,1,0,0,0,0,0,0,0,0,1
BARRON ,CITY OF BARRON,CITY OF BARRON Ward 1-7,1350,757,506,10,46,15,2,2,0,0,0,0,0,0,0,0,0,12,,1362,759,511,10,46,15,3,2,0,4,0,0,0,0,0,0,0,12
BARRON ,CITY OF CHETEK,CITY OF CHETEK Wards 1-4,1016,582,379,6,36,6,1,0,0,4,0,0,2,0,0,0,0,0,,1019,582,381,7,36,6,1,0,0,4,0,0,2,0,0,0,0,0
BARRON ,CITY OF CUMBERLAND,CITY OF CUMBERLAND Ward 1-4,1114,597,458,3,39,8,1,1,0,0,0,0,0,0,0,0,0,7,,1118,597,459,3,39,8,1,1,0,3,0,0,0,0,0,0,0,7
BARRON ,CITY OF RICE LAKE,CITY OF RICE LAKE Wards 1-13,3885,2114,1551,20,148,43,3,1,0,5,0,0,0,0,0,0,0,0,,3892,2116,1554,20,148,43,3,1,0,7,0,0,0,0,0,0,0,0
BAYFIELD ,TOWN OF BARKSDALE,TOWN OF BARKSDALE Ward 1,474,220,233,4,8,7,0,0,0,2,0,0,0,0,0,0,0,0,,482,220,233,4,8,7,0,0,0,1,0,0,0,0,0,0,0,9
BAYFIELD ,TOWN OF BARNES,TOWN OF BARNES Ward 1,568,293,254,1,11,5,0,1,0,3,0,0,0,0,0,0,0,0,,574,293,254,1,11,5,0,1,0,3,0,0,0,0,0,0,0,6
BAYFIELD ,TOWN OF BAYFIELD,TOWN OF BAYFIELD Ward 1,495,146,326,0,6,15,0,0,0,2,0,0,0,0,0,0,0,0,,498,146,327,0,6,15,0,0,0,2,0,0,0,0,0,0,0,2
BAYFIELD ,TOWN OF BAYVIEW,TOWN OF BAYVIEW Ward 1,335,141,183,0,7,1,0,0,0,3,0,0,0,0,0,0,0,0,,336,141,181,0,7,1,0,0,0,3,0,0,0,0,0,0,0,3
BAYFIELD ,TOWN OF BELL,TOWN OF BELL Ward 1,232,83,136,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,,233,83,136,0,7,6,0,0,0,0,0,0,0,0,0,0,0,1
BAYFIELD ,TOWN OF CABLE,TOWN OF CABLE Ward 1,512,299,193,2,16,2,0,0,0,0,0,0,0,0,0,0,0,0,,516,299,193,2,16,2,0,0,0,1,0,0,0,0,0,0,0,3
BAYFIELD ,TOWN OF CLOVER,TOWN OF CLOVER Ward 1,174,76,86,0,6,5,0,0,0,1,0,0,0,0,0,0,0,0,,176,76,86,0,6,5,0,0,0,1,0,0,0,0,0,0,0,2
BAYFIELD ,TOWN OF DELTA,TOWN OF DELTA Ward 1,205,113,84,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,,208,113,84,0,6,2,0,0,0,0,0,0,0,0,0,0,0,3
BAYFIELD ,TOWN OF DRUMMOND,TOWN OF DRUMMOND Ward 1,333,169,153,0,4,4,1,0,0,2,0,0,0,0,0,0,0,0,,335,169,153,0,4,4,1,0,0,2,0,0,0,0,0,0,0,2
BAYFIELD ,TOWN OF EILEEN,TOWN OF EILEEN Ward 1-2,414,220,178,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,,417,220,178,0,11,5,0,0,0,0,0,0,0,0,0,0,0,3
BAYFIELD ,TOWN OF GRAND VIEW,TOWN OF GRAND VIEW Ward 1,292,147,131,0,6,6,0,1,0,1,0,0,0,0,0,0,0,0,,296,147,131,0,6,6,0,1,0,1,0,0,0,0,0,0,0,4
BAYFIELD ,TOWN OF HUGHES,TOWN OF HUGHES Ward 1,299,163,130,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,,301,163,130,0,3,2,1,0,0,0,0,0,0,0,0,0,0,2
BAYFIELD ,TOWN OF IRON RIVER,TOWN OF IRON RIVER Ward 1-2,731,384,322,2,15,8,0,0,0,0,0,0,0,0,0,0,0,0,,736,384,322,2,15,8,0,0,0,1,0,0,0,0,0,0,0,4
BAYFIELD ,TOWN OF KELLY,TOWN OF KELLY Ward 1,259,147,97,1,4,4,0,0,0,1,4,0,1,0,0,0,0,0,,259,146,97,1,4,4,0,0,0,1,4,0,1,0,0,0,0,1
BAYFIELD ,TOWN OF KEYSTONE,TOWN OF KEYSTONE Ward 1,197,104,83,2,5,1,0,1,0,0,0,0,0,0,0,0,0,1,,197,104,83,2,5,1,0,1,0,0,0,0,0,0,0,0,0,1
BAYFIELD ,TOWN OF LINCOLN,TOWN OF LINCOLN Ward 1,182,103,65,2,3,6,0,1,0,1,0,0,0,0,0,0,0,1,,182,103,65,2,3,6,0,1,0,1,0,0,0,0,0,0,0,1
BAYFIELD ,TOWN OF MASON,TOWN OF MASON Ward 1,165,89,74,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,166,88,74,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
BAYFIELD ,TOWN OF NAMAKAGON,TOWN OF NAMAKAGON Ward 1,236,133,100,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,238,133,100,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2
BAYFIELD ,TOWN OF ORIENTA,TOWN OF ORIENTA Ward 1,90,46,39,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,,90,46,39,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
BAYFIELD ,TOWN OF OULU,TOWN OF OULU Ward 1,336,166,148,3,10,9,0,0,0,0,0,0,0,0,0,0,0,0,,335,166,147,3,10,9,0,0,0,0,0,0,0,0,0,0,0,0
BAYFIELD ,TOWN OF PILSEN,TOWN OF PILSEN Ward 1,139,59,74,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,139,59,74,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
BAYFIELD ,TOWN OF PORT WING,TOWN OF PORT WING Ward 1,262,109,146,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2,,262,109,146,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2
BAYFIELD ,TOWN OF RUSSELL,TOWN OF RUSSELL Ward 1-2,529,89,404,1,4,28,0,1,0,2,0,0,0,0,0,0,0,0,,548,89,405,1,4,28,0,1,0,1,0,0,0,0,0,0,0,19
BAYFIELD ,TOWN OF TRIPP,TOWN OF TRIPP Ward 1,140,78,54,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,140,78,54,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
BAYFIELD ,TOWN OF WASHBURN,TOWN OF WASHBURN Ward 1,341,130,196,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,,346,130,196,0,7,8,0,0,0,3,0,0,0,0,0,0,0,2
BAYFIELD ,VILLAGE OF MASON,VILLAGE OF MASON Ward 1,41,18,20,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,41,18,20,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
BAYFIELD ,CITY OF ASHLAND,CITY OF ASHLAND Ward 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAYFIELD ,CITY OF BAYFIELD,CITY OF BAYFIELD Ward 1-4,346,73,253,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,,347,73,253,0,8,12,0,0,0,0,0,0,0,0,0,0,0,1
BAYFIELD ,CITY OF WASHBURN,CITY OF WASHBURN Ward 1-4,1202,327,792,3,31,39,2,1,0,7,0,0,0,0,0,0,0,0,,1214,328,792,3,31,39,2,1,0,7,0,0,0,0,0,0,0,11
BROWN ,TOWN OF EATON,TOWN OF EATON Wards 1-2,927,591,291,5,24,9,0,0,0,1,0,0,0,0,0,0,0,6,,927,591,291,5,24,9,0,0,0,1,0,0,0,0,0,0,0,6
BROWN ,TOWN OF GLENMORE,TOWN OF GLENMORE Wards 1-2,594,391,167,4,22,3,0,1,0,1,0,0,0,0,0,0,0,5,,594,391,167,4,22,3,0,1,0,1,0,0,0,0,0,0,0,5
BROWN ,TOWN OF GREEN BAY,TOWN OF GREEN BAY Wards 1-3,1215,800,363,8,26,10,1,0,0,4,0,0,0,0,0,0,0,3,,1215,800,363,8,26,10,1,0,0,4,0,0,0,0,0,0,0,3
BROWN ,TOWN OF HOLLAND,TOWN OF HOLLAND Wards 1-2,894,570,272,1,37,4,0,2,0,4,0,0,0,0,0,0,0,4,,895,570,273,1,37,4,0,2,0,4,0,0,0,0,0,0,0,4
